St,Spy,Spx,Sny,Snx,Et,Epy,Epx,Eny,Enx,Supply Vent Facing Direction,Exhaust Vent Facing Direction,Supply Vent Flow Speed,Exhaust Vent Flow Speed,x Distance Between Vents,y Distance Between Vents,Vertical Distance Between Vents,Wind Speed,Fire Size,Wind Angle,Vis,EC,Recirculation
0,1,0,0,0,0,0,0,1,0,Py,Ny,2.4,-3.5,6,11,9.5,-2.4,3.1,281,30,5.45097E-12,0
0,1,0,0,0,1,0,0,0,0,Py,Top,3.9,-8.8,13,14,-3.5,-3.4,8.9,23,30,4.15969E-15,0
0,1,0,0,0,0,1,0,0,0,Py,Py,3.4,-2.1,12,13.5,-2.5,-1.2,12.3,242.6,30,0.0004832,0
0,0,0,0,1,0,0,0,1,0,Nx,Ny,3.8,-3.6,5.5,5,5.5,-2.8,10.9,264.3,30,0.001079168,0
0,0,0,0,1,1,0,0,0,0,Nx,Top,2.1,-8.7,6,7.5,2.5,-1.9,8.3,28.6,30,5.03335E-17,0
0,0,1,0,0,0,0,0,0,1,Px,Nx,2.8,-2.2,7.5,6.5,3.5,-1.9,10.2,71.2,30,1.11221E-06,0
0,1,0,0,0,0,0,0,0,1,Py,Nx,3.9,-2,12,11.5,2,-3.4,4.8,217.3,13.40323628,0.265615964,1
0,1,0,0,0,0,0,1,0,0,Py,Px,2,-3.9,7.5,9.5,0.5,-1.1,8.7,342.5,30,9.43144E-05,0
0,0,0,0,1,0,0,0,1,0,Nx,Ny,2.1,-4,11.5,8,8,-3.1,6.1,1.6,30,9.2478E-26,0
1,0,0,0,0,0,0,1,0,0,Top,Px,9.3,-3.4,5,8.5,10.5,-3.1,1.9,162.2,30,3.35581E-07,0
0,0,0,0,1,0,1,0,0,0,Nx,Py,2.7,-3.7,7.5,8,-6,-3.2,5.2,346.7,30,1.51326E-08,0
0,0,1,0,0,0,1,0,0,0,Px,Py,3.3,-3.4,10,7,2,-3,13.4,314,30,7.83183E-13,0
0,1,0,0,0,0,0,0,1,0,Py,Ny,2.2,-2.7,13.5,12,-4.5,-2.8,9.3,234.7,30,2.83727E-07,0
1,0,0,0,0,0,0,1,0,0,Top,Px,8.9,-2.5,5,5.5,7.5,-2.3,3,221.7,21.21231317,0.158827083,1
0,0,0,1,0,1,0,0,0,0,Ny,Top,2.3,-7.4,6.5,10,9,-2.8,3.5,75.5,30,8.89041E-18,0
0,0,0,1,0,0,0,1,0,0,Ny,Px,2.7,-3.8,13.5,13.5,-1,-3.5,12.9,338.4,30,8.32367E-20,0
0,1,0,0,0,1,0,0,0,0,Py,Top,3.7,-10.9,7.5,15,2.5,-3.1,14.6,260.5,30,0.000102053,0
0,0,0,0,1,0,0,0,0,1,Nx,Nx,2.3,-3.8,14.5,14.5,-3,-1.1,7.7,346.6,30,1.11923E-07,0
0,0,1,0,0,0,0,0,0,1,Px,Nx,3.3,-2.9,11.5,14,-8.5,-2.3,7.7,128.9,30,1.26127E-05,0
0,0,1,0,0,1,0,0,0,0,Px,Top,2.8,-9.6,7,11,-4.5,-2.4,10.5,135.9,30,0.000106446,0
0,0,1,0,0,0,1,0,0,0,Px,Py,2.6,-3.7,14.5,9,3.5,-2.4,15.8,286.5,30,5.725E-20,0
1,0,0,0,0,1,0,0,0,0,Top,Top,11.5,-8.5,10.5,5.5,7,-2.8,6.8,4.2,30,6.7869E-17,0
0,1,0,0,0,0,0,0,1,0,Py,Ny,2.6,-2.5,11,6.5,9.5,-3,13,198.3,30,0.000296372,0
0,0,0,0,1,0,0,0,1,0,Nx,Ny,2.6,-3,7.5,15,-2.5,-3.1,1.5,260.5,30,0.004525827,0
0,1,0,0,0,1,0,0,0,0,Py,Top,2.5,-8.4,15,12.5,-11,-2.6,3.3,161.2,30,2.63249E-24,0
0,0,0,1,0,0,0,0,1,0,Ny,Ny,2.7,-3.8,14.5,5,4.5,-2,6.6,190.7,30,0.007401759,0
1,0,0,0,0,0,1,0,0,0,Top,Py,11.7,-2.7,11.5,7.5,-2,-2.1,7.7,229.1,26.50536466,0.08348462,1
0,1,0,0,0,0,0,0,1,0,Py,Ny,2.7,-2.1,13,11.5,7,-2.6,11.5,19.6,30,4.08195E-29,0
0,1,0,0,0,1,0,0,0,0,Py,Top,2.9,-8.4,15,6,3,-1.7,12.8,27.6,30,3.68934E-08,0
0,1,0,0,0,1,0,0,0,0,Py,Top,3.4,-7.8,13.5,5.5,7.5,-3.3,1.3,306.8,30,2.49498E-10,0
0,0,1,0,0,1,0,0,0,0,Px,Top,2.8,-8.7,13,5.5,-1.5,-2.5,10.3,311.7,30,4.88852E-12,0
1,0,0,0,0,1,0,0,0,0,Top,Top,11.3,-11.2,5,12,10,-3.3,9.8,270,30,0.007861794,0
0,1,0,0,0,0,0,1,0,0,Py,Px,3.1,-3.1,10.5,11,-3,-1.4,15.6,131.1,30,1.16638E-19,0
0,0,0,0,1,0,1,0,0,0,Nx,Py,3.4,-2.1,11.5,11,6,-2.8,8.7,204.8,30,0.000648103,0
0,0,1,0,0,0,0,0,1,0,Px,Ny,3.1,-3.8,5,10,7,-1.3,13.2,321.7,30,2.00773E-15,0
0,0,0,1,0,0,0,0,1,0,Ny,Ny,3.5,-3.3,13,5,6,-2.2,4.1,24.7,30,1.12467E-13,0
0,0,0,1,0,1,0,0,0,0,Ny,Top,3.4,-7.1,6,12,-7.5,-1.6,2.1,32.8,30,5.75376E-14,0
1,0,0,0,0,0,0,0,1,0,Top,Ny,11.7,-2.1,8,12,6.5,-3.4,14,256,28.59364762,0.053139148,1
0,0,1,0,0,0,1,0,0,0,Px,Py,3.4,-3.6,12,6.5,9,-1.6,9.7,71.9,30,6.79961E-21,0
0,0,0,1,0,0,0,0,1,0,Ny,Ny,2.6,-3.3,9.5,8.5,6,-3.2,11,227.3,30,0.034066163,0
0,0,0,0,1,0,0,0,1,0,Nx,Ny,3.5,-3,12,10,-7,-3,7.9,71,30,8.41748E-08,0
0,1,0,0,0,0,0,1,0,0,Py,Px,3.9,-3.4,12,7.5,9,-3,3.3,233.1,30,0.005399244,0
0,0,0,0,1,0,0,0,0,1,Nx,Nx,2.3,-2.4,8,12.5,0.5,-2.2,12.9,181.2,30,2.4391E-07,0
0,1,0,0,0,0,1,0,0,0,Py,Py,2.9,-2.9,9.5,14.5,-5,-2,11.9,108.5,30,2.07326E-11,0
0,1,0,0,0,1,0,0,0,0,Py,Top,3.6,-9.3,6,9.5,3.5,-1.9,14.1,106.2,30,1.75781E-11,0
0,0,1,0,0,1,0,0,0,0,Px,Top,2.4,-8.1,14.5,6.5,3.5,-2.1,12.8,214.4,30,0.006920521,0
0,0,0,0,1,1,0,0,0,0,Nx,Top,2.7,-9.7,8,15,-9,-3.1,12.6,258.7,30,0.037824589,0
0,1,0,0,0,0,1,0,0,0,Py,Py,3.6,-3.9,8,12.5,-9,-2.1,5.7,318.4,30,9.39321E-14,0
1,0,0,0,0,1,0,0,0,0,Top,Top,7.9,-10.4,8.5,8.5,3,-3.1,6.5,308.7,30,7.82321E-13,0
0,1,0,0,0,0,0,1,0,0,Py,Px,2.6,-2.2,6,7,-1.5,-2.5,3.4,224.1,30,0.0460539,0
0,0,0,0,1,0,0,1,0,0,Nx,Px,2.1,-2.6,13.5,10,-4,-1.6,10.2,251.7,30,9.74533E-10,0
0,0,0,1,0,0,0,1,0,0,Ny,Px,2.6,-2.2,7,8.5,5,-2.2,12.7,256.8,30,0.000512426,0
0,0,0,0,1,0,1,0,0,0,Nx,Py,2.1,-2.7,12,13,6,-1.2,2.6,293.9,30,2.85639E-20,0
0,0,0,0,1,1,0,0,0,0,Nx,Top,3.3,-9,12,9.5,-3,-1.9,13.4,342.2,30,1.28471E-05,0
1,0,0,0,0,1,0,0,0,0,Top,Top,8.4,-10.7,6,14,-10.5,-3.4,6.5,238.8,21.60285467,0.146960267,1
0,1,0,0,0,0,0,0,0,1,Py,Nx,2.5,-2.6,9,8.5,-8.5,-1.3,7,70.8,27.05419844,0.096163053,1
0,0,0,1,0,1,0,0,0,0,Ny,Top,2.6,-8.1,11.5,10,-5,-2.6,8,40.3,30,6.2701E-08,0
0,0,1,0,0,0,0,0,1,0,Px,Ny,3.4,-3,13.5,12.5,9,-1.6,6.1,249.2,30,0.001117606,0
1,0,0,0,0,0,0,0,0,1,Top,Nx,7.9,-3.6,12,11,-0.5,-1.6,9.7,336.7,30,2.20565E-07,0
0,1,0,0,0,0,0,1,0,0,Py,Px,3.8,-3.7,11.5,8,-8.5,-1.1,12.5,230.9,30,3.57844E-08,0
0,0,0,1,0,1,0,0,0,0,Ny,Top,3.1,-10.2,14,9,9,-2.9,14.3,261.4,30,3.36338E-09,0
0,0,1,0,0,1,0,0,0,0,Px,Top,3.7,-7.5,9,8,8,-1.4,5.2,342.8,30,1.16381E-07,0
0,0,0,1,0,0,1,0,0,0,Ny,Py,3.1,-2.3,14,7.5,10,-3,11.6,87.2,30,3.24153E-27,0
0,0,0,1,0,0,0,0,1,0,Ny,Ny,2.4,-2.2,10.5,9,10.5,-2.8,6,327.7,30,6.73692E-14,0
0,0,0,1,0,1,0,0,0,0,Ny,Top,2.5,-11.8,12,10.5,-4.5,-1.1,11.8,243.7,30,0.001172498,0
1,0,0,0,0,0,0,1,0,0,Top,Px,9.2,-2.3,5.5,13.5,-3.5,-3.1,2.8,23.1,30,1.26979E-18,0
0,0,0,0,1,0,1,0,0,0,Nx,Py,2.9,-2.7,14.5,10.5,-5,-1.8,10.4,39,30,2.33327E-08,0
0,0,0,0,1,0,0,0,0,1,Nx,Nx,2.4,-3.2,11,11,7,-1.6,6.8,101.7,30,1.9276E-06,0
1,0,0,0,0,0,0,1,0,0,Top,Px,7.4,-2.3,6.5,7.5,0.5,-2,16,134.6,30,4.33744E-08,0
0,1,0,0,0,0,0,1,0,0,Py,Px,2.8,-2.3,11.5,14,-6.5,-2,2.3,125.2,30,7.07907E-21,0
0,1,0,0,0,0,1,0,0,0,Py,Py,3.7,-3.1,13.5,8,-3,-2.1,2.6,301.9,30,1.71308E-11,0
0,0,1,0,0,0,1,0,0,0,Px,Py,3.3,-2.5,7.5,10.5,-8.5,-2.2,11.5,123.4,30,3.29766E-05,0
0,0,0,1,0,0,0,0,0,1,Ny,Nx,3.7,-3.6,8,13.5,-6,-2.4,13.6,114.7,30,0.001027801,0
1,0,0,0,0,0,0,0,0,1,Top,Nx,7.3,-3,14.5,8,5,-2.5,12.4,203.6,26.9246719,0.082211022,1
0,0,0,0,1,0,0,0,0,1,Nx,Nx,3.8,-2.6,9.5,12,-1.5,-2,11.9,249.4,24.69265545,0.119040691,1
0,1,0,0,0,0,1,0,0,0,Py,Py,3.3,-2.8,7,8,8.5,-2.3,9.3,242.4,30,0.00637261,0
0,1,0,0,0,0,0,0,1,0,Py,Ny,2.5,-3.6,5.5,12,-4,-1.7,12,267.6,19.28422382,0.227309051,1
